用户ID,特征,清洁效率,耗材,对比,时间
1001,65㎡公寓 |单身 |木地板,覆盖率: 85% 日均清扫: 45㎡ 漏扫区域: 沙发底...,主刷磨损:轻,适合木地板日常清扫,2025-01
1002,70㎡公寓 |情侣 |瓷砖,覆盖率: 88% 避障失败: 2次/周（电线缠绕）,边刷磨损:中度,需定期清理毛发,2025-01
1003,90㎡ |1狗 |短毛地毯,毛发清理: 92% 地毯增压使用: 15次/月,胶刷更换:剩余30天,毛发处理效果好,2025-01
1009,80㎡两居 | 养宠 | 仿实木,宠物毛发清理:85% 自动回充成功率:92%,胶刷缠绕:中度 滤网更换:剩余30天,养宠家庭适用,2025-05
1010,130㎡四居 | 三代同堂 | 通体砖,覆盖率:82% 手动辅助清扫:3次/天 定时清扫使用率:60%,电池衰减:轻度,大户型续航略显吃力,2025-01
1001,65㎡公寓 | 单身 | 木地板,覆盖率:86% 日均清扫:46㎡ 漏扫区域:沙发底部（高度不足）,主刷寿命:剩余50天,木地板保护良好,2025-02
1002,70㎡公寓 | 情侣 | 瓷砖,覆盖率:87% 避障失败:3次/周（电线缠绕）,边刷磨损:中度+ 尘盒清理:每2天,拖地功能使用频率高,2025-02
1003,90㎡ | 1狗 | 短毛地毯,毛发清理:91% 地毯增压使用:14次/月,胶刷更换:剩余20天 尘盒容量:每日,宠物家庭必备,2025-02
1004,85㎡ | 2猫 | 混合地面,猫砂泼洒处理:9次/月 自动回充成功率:87%,主刷缠绕:严重+ 滤网更换:紧迫,猫毛清理是个挑战,2025-02
1005,120㎡ | 老人 | 防滑砖,手动操作占比:94% 定时清扫尝试使用:1次/周,电池衰减:26% 水箱未激活,操作习惯偏向传统,2025-02
1006,150㎡别墅 | 儿童 | 多层,跨楼层失败:4次/周 玩具避障率:74%,边刷更换:待更换 集尘袋消耗:1.2个/月,多层导航有待优化,2025-02
1007,55㎡一居 | 独居 | 复合地板,覆盖率:91% 日均清扫:36㎡ 沿边清扫无死角,滤网寿命:剩余75天,小巧灵活,适合小户型,2025-02
1008,100㎡三居 | 三口之家 | 大理石,覆盖率:87% 餐桌区域漏扫:1次/天 避障成功率:91%,主刷磨损:轻,日常维护省心,2025-02
1009,80㎡两居 | 养宠 | 仿实木,宠物毛发清理:86% 自动回充成功率:93%,胶刷缠绕:中度 滤网更换:剩余25天,养宠家庭反馈良好,2025-02
1010,130㎡四居 | 三代同堂 | 通体砖,覆盖率:83% 手动辅助清扫:2次/天 定时清扫使用率:65%,电池衰减:16% 边刷寿命:剩余60%,家庭使用频繁,2025-02
